field_name,field_type,pass,avg_agreement,appears_in_jobs
ext_salary_disclosed,boolean,1,1.0,17
ext_equity_mentioned,boolean,1,1.0,17
ext_conference_budget_mentioned,boolean,1,1.0,17
ext_hardware_choice_mentioned,boolean,1,1.0,17
ext_feature_store_mentioned,boolean,1,1.0,17
ext_security_clearance_stated,enum,1,1.0,17
ext_conversion_to_fte,enum,1,1.0,17
ext_extension_possible,enum,1,1.0,17
ext_salary_min,numeric,1,1.0,17
ext_start_date,enum,1,1.0,17
summary.negotiation_leverage,array,3,1.0,16
summary.red_flags_to_probe,array,3,1.0,16
ext_salary_max,numeric,1,1.0,17
ext_hourly_rate_max,numeric,1,1.0,17
ext_daily_rate_max,numeric,1,1.0,17
ext_daily_rate_min,numeric,1,1.0,17
ext_years_experience_min,numeric,1,1.0,17
ext_years_experience_max,numeric,1,1.0,17
ext_education_stated,string,1,1.0,17
ext_contract_duration_months,numeric,1,1.0,17
ext_daily_rate_text_raw,string,1,1.0,17
ext_contract_duration_text,string,1,1.0,17
ext_start_date_text,string,1,1.0,17
career_development.promotion_path_mentioned,inference,2,1.0,17
ext_excluded_countries,array,1,1.0,17
ext_certifications_mentioned,array,1,1.0,17
summary.recommendation_confidence,numeric,3,1.0,16
summary.best_fit_for,array,3,1.0,16
summary.concerns,array,3,1.0,16
visa_and_authorization.opt_cpt_friendly,inference,2,1.0,17
career_development.internal_mobility_mentioned,inference,2,1.0,17
requirements_classification.scope_definition,inference,2,1.0,17
summary.strengths,array,3,1.0,16
requirements_classification.skill_inflation_detected,inference,2,1.0,17
ext_hourly_rate_text_raw,string,1,0.9995492449853504,17
ext_citizenship_text,string,1,0.9850267379679145,17
ext_visa_sponsorship_stated,enum,1,0.980392156862745,17
red_flags_and_role_quality.role_clarity,inference,3,0.9791666666666666,16
ext_llm_genai_mentioned,boolean,1,0.9705882352941176,17
ext_overtime_paid,enum,1,0.9705882352941176,17
seniority_and_role.job_family,inference,2,0.9705882352941176,17
visa_and_authorization.h1b_friendly,inference,2,0.9705882352941176,17
